,w_init,trajectory,loss
135,1.6228803630163904,"[-2.1362058092718366, 0.16414184556675965, 0.5315511896983597, 0.763124994415145, 1.009534831031821, 1.1443408504308532, 1.2225470894593171, 1.3131585845536202, 1.3531200199021158, 1.3963923006113783, 1.4114608236135264, 1.4311424501189143, 1.4623301819208128, 1.4838639787829937, 1.4959463309001628, 1.5014035034536029, 1.5044734392476087, 1.5240699415100847, 1.5465619312523289, 1.552654512007027, 1.5560715112591361, 1.5703524076100523, 1.5788689415400496, 1.5911012380265783, 1.5932625461619265, 1.597127852205405, 1.5895958105649706, 1.59536430957689, 1.5966437779540181, 1.5968078942460944, 1.5931400369666604, 1.5975069756179707, 1.6052467545914442, 1.6188148166215526, 1.6228803630163904]","[35.10128855043765, 28.440654439425394, 11.158543586794561, 9.455959839815545, 3.760646298874272, 2.8611789473832605, 2.4081684991348444, 1.1617905033828912, 1.9742143492189437, 1.0915635246551545, 0.9846325470640156, 1.662679671321519, 1.3393868975811414, 0.915172476307448, 1.4588462080594042, 0.8144342392399682, 0.8376097993774985, 1.5411573057851409, 0.7882689387973599, 0.8014978316382179, 1.4219058654291188, 1.162450993123273, 1.0637628813381115, 1.042433782301763, 0.8594376851527983, 0.9546546397041384, 1.2500162149948435, 0.8715881761845906, 0.9955560493133978, 0.8511396269985464, 0.8302469104746, 1.044498978723166, 0.9540482363479293, 1.361580261617494]"
136,1.9168857095624705,"[2.456841564950233, 2.196251856358038, 2.1648464921690684, 2.1488482503083732, 2.1421141995161883, 2.1304239458892775, 2.1068473307409477, 2.0768652727747177, 2.0564108427828427, 2.0469638929151546, 2.0369418301238027, 2.0402864062893693, 2.0230746201070398, 2.011955878599234, 2.005186771576486, 1.9894533187850885, 1.9873957982619284, 1.9916940499465665, 1.9712725910540883, 1.9667891262391153, 1.95421579566344, 1.948712208404257, 1.944924241350367, 1.9440043581637747, 1.937852732052633, 1.9357773473258477, 1.9339283983318178, 1.9314249054801609, 1.9339441086352396, 1.9323973747703242, 1.921284810147555, 1.917919477949304, 1.9175008325766707, 1.9191612602278267, 1.9168857095624705]","[4.228128624713681, 1.1408582637611153, 0.5996083390173287, 0.8172187705310449, 0.9139638552107968, 0.8995750148517909, 1.019323474703929, 1.1741616056735171, 0.9056361292057722, 0.7876679599105056, 0.9489500540719978, 1.117411002536609, 0.9257975815998196, 1.199186345535456, 1.2857875086766812, 0.9864207293306175, 0.5738684592348863, 1.8143324955417295, 1.1363523073869606, 1.8244927530522403, 1.0239644978834788, 0.6812098064352213, 0.8177047909526499, 1.0015074671590685, 0.6275383533228849, 1.0721728631889123, 1.3485516728417184, 1.2090967438977125, 0.8745905348090655, 1.7709435946843861, 1.2870226701593483, 1.2182169490917993, 1.118559074785859, 0.8689343366083785]"
137,1.5407809728711406,"[-0.897114847486626, -1.262141197636841, -1.9156709117295796, -1.3027385756679015, -1.9178707421575056, -1.2617983378897197, -1.8019386211588109, -1.8070951788495626, -1.657848225360296, -2.084040075358001, -1.3937341405126196, -2.098857897035065, -0.6725036439842871, -0.7359505959130868, -0.8914803981258228, -1.2752043536561348, -2.3034931228746953, 0.2659800545128272, 0.5802867929596793, 0.8524002240781955, 1.0282914816698225, 1.1742866309937787, 1.2683212329922193, 1.3036096990356065, 1.3774771716065213, 1.4224894329639262, 1.4196310200146458, 1.4423958495644134, 1.4668606422957835, 1.4846914869468955, 1.4929465393019299, 1.4957840045808226, 1.5011703545512824, 1.5205870078010555, 1.5407809728711406]","[49.60931050466191, 28.57939211039518, 4.810613678874076, 23.840583738480493, 4.252654856676084, 23.92596135711927, 1.2664200921671525, 1.5235655059589244, 4.741934744233151, 8.30159426183615, 20.2217177866274, 18.91123901904134, 43.409423171298265, 56.14105163279953, 54.66998479518461, 41.46612965152221, 52.68034443703594, 19.06753350229434, 11.952281569094547, 5.112822676950287, 4.339873134564565, 2.122652059512968, 1.0487067287375518, 2.657524206704694, 1.7951652945598982, 1.1737275224352601, 1.3958871585382968, 1.1676175521794525, 0.8997284224942693, 0.8630648702425402, 0.9468816370962327, 0.969200324580055, 1.2227129378316979, 2.085509119486198]"
138,1.6266980881256756,"[2.9083348364754293, 1.0527743962537799, 1.224219021174274, 1.322449436778447, 1.3747257934871389, 1.405470181969094, 1.4171327925113724, 1.4505717377996459, 1.4625992017123164, 1.4766506957549723, 1.485524497327144, 1.5066923808918402, 1.5252117417572248, 1.530488492634187, 1.534488862519731, 1.5440079178532786, 1.5513653949519874, 1.5584830894761703, 1.5638980837279182, 1.562513348585405, 1.5672544176979137, 1.5788368447933376, 1.5935743159663505, 1.601421631627262, 1.6035898677941558, 1.598444517323155, 1.6031383196746467, 1.600954698915005, 1.6031342321187392, 1.6119502480445225, 1.6192530660662328, 1.6156208412238844, 1.617773180098519, 1.621437811942054, 1.6266980881256756]","[47.95577235729302, 4.278132817089218, 2.867420170870316, 1.578421587165891, 1.4143865169100975, 0.8867983175795469, 1.7459442288551907, 0.8461426156792745, 1.500719578579257, 0.9284107746268873, 1.4642605043626, 1.117755525885593, 0.9744923611185453, 0.9675525420163166, 0.7547374576514424, 1.4041959949062275, 1.2848920768996095, 0.7999923357086094, 0.808809825655231, 1.0651751138668908, 1.0495730195790054, 1.2485140057562745, 0.9996476519097409, 1.023507865485093, 1.3019355662244267, 0.789607826952016, 0.7516032492852154, 0.9419085400517344, 1.3637270513539623, 1.4017163445945684, 0.6613048790099403, 1.0007569395198594, 0.9800408977581322, 1.9879092595675083]"
139,1.9135469870038768,"[1.976973141897477, 1.9663262355759867, 1.9584718472799303, 1.9599329304817394, 1.9619750822021287, 1.9622053036722953, 1.9586569501112827, 1.9543395373941224, 1.9460218656804973, 1.94222915781592, 1.9355311662577206, 1.937406932336926, 1.9344167070992448, 1.9303374495575065, 1.9301968488572556, 1.9295672428559187, 1.9282509055396142, 1.922845453787983, 1.9207145473633436, 1.9149802678338526, 1.916245603227245, 1.9156427550133117, 1.9128635161376526, 1.9104644561069204, 1.9061133944609765, 1.9041134596078477, 1.907309866337407, 1.9101762222850598, 1.9094042784586576, 1.9090485887664865, 1.9118285197789857, 1.9129052146989578, 1.9109876084721782, 1.9131317231251221, 1.9135469870038768]","[1.2292830308665441, 1.0179860701265122, 0.5445334163992565, 1.554936671449714, 0.7853203632544522, 1.2553144610093667, 1.2453913099472185, 0.7101763100224681, 1.0430317099310733, 0.6407847691129936, 0.6454378310737525, 0.8480584049450564, 0.8754543395055675, 1.106608613473218, 1.1304705326379547, 1.0477067198648788, 1.0481048941656428, 0.8079121798681638, 1.5737418464227475, 0.9282655910300742, 1.2711654942365271, 1.4297889484112967, 1.2054004036316297, 1.3069262190468267, 0.8917532747491923, 0.9816572665504775, 1.2838828024134468, 0.6828737600172003, 0.9936525500469384, 1.3586238452834871, 0.6596870472546126, 0.8456060652689398, 1.2601520253352771, 0.4899396970939671]"
140,1.6295218781518563,"[0.4499218719233511, 0.8470682241333563, 1.082219920055724, 1.1940302434647219, 1.2571798892604813, 1.3156631315025413, 1.3502054062715616, 1.393130735567156, 1.4259243610984078, 1.4463713477049136, 1.4596092118651993, 1.4734454514859296, 1.488008418489323, 1.5022700901787842, 1.5192376090752187, 1.5263870711236835, 1.5352145663390016, 1.5372978366149308, 1.5477466016114432, 1.5606469620204189, 1.5814886954069056, 1.5904022890573233, 1.5966945134451107, 1.5997799883114665, 1.6023017376719073, 1.603735070449409, 1.6144526528460317, 1.6129772282050583, 1.6105786015365806, 1.6076150032802878, 1.6168526025763867, 1.60854502237084, 1.6175931971099065, 1.628977079868776, 1.6295218781518563]","[20.13912895307185, 7.867124953569176, 3.3832714436041056, 1.6557825619927125, 1.3660019079883947, 1.5016636163633896, 1.3185909255042136, 0.8988472912333416, 1.2160700608569184, 1.7007871848811709, 1.116209838996327, 0.9635887173348932, 0.9932495379372057, 0.8604606665157244, 1.123532079322026, 1.4720693118878636, 0.6696212288466327, 1.1476182174843776, 1.3219967490074291, 1.167283162351377, 0.7821217885130939, 0.9432884527233137, 1.114044728198985, 1.1548351214711308, 1.5226613212067168, 1.4831415950250828, 0.797200405742233, 0.945303072365393, 0.980662739160786, 0.8608519984349222, 1.2733458687698553, 1.6451584168110878, 1.2225898586551638, 0.6314520815336]"
141,,"[-2.90835819471452, 14.07996055669592, -22284.893163468005, 3.497171868930511e+20, -3.52282053198318e+101, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[640.8077481887356, 4937576.637187133, 1.2989366554091723e+26, 2.0533181439570653e+123, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
142,,"[-3.5206584839023067, 40.335909649104636, -5698162.317076875, 3.129043662304993e+32, -1.4808058237059946e+161, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[2283.6534909154407, 3767050912.5963206, 2.971633427076524e+40, 7.72251012961928e+194, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
143,,"[-3.029252354074101, 13.628441167208898, -22449.929878666266, 5.2941994317429526e+20, -2.2580891288435665e+102, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[684.9255994291435, 4801986.144066342, 1.9809596974462427e+26, 1.9924623637914246e+124, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
144,,"[-3.643584971641906, 53.01232992794599, -30816680.61572742, 1.6391720845263564e+36, -1.0437712690151917e+180, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[3112.696097098685, 26891923162.891285, 8.418973931094662e+44, 2.8515345446672534e+217, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
145,,"[-3.1400469671512568, 19.429107833957495, -101418.15476232085, 6.912290477375401e+23, -8.769048991390707e+117, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[974.2325697253776, 31591049.810851242, 1.1683931542909502e+30, 1.0102368973138055e+143, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
146,1.6379568047049415,"[-2.1943252911371625, -0.12707451427453037, 0.2564203066374007, 0.6403180573630216, 0.9177624105150644, 1.074101220076634, 1.1841246574583444, 1.2483222281578086, 1.331401937458434, 1.3732478713005412, 1.415437157193001, 1.4275103545687313, 1.4518901724840856, 1.466546520741129, 1.4753372556510127, 1.4737031351127343, 1.485382077390707, 1.5146726604230991, 1.518353152804446, 1.526269286388863, 1.540332121038491, 1.5512237071079664, 1.5558713238350843, 1.5549870814702973, 1.5638517493841244, 1.5744034132431879, 1.5760680324057175, 1.5815064135993675, 1.5897885423523317, 1.5991498311142756, 1.6060396848770362, 1.6158170742890652, 1.6209829561757252, 1.631699228359069, 1.6379568047049415]","[35.41272074249371, 43.94015056123851, 25.43258231012481, 12.413115008541036, 4.854007850420072, 3.4087909663943594, 2.150918835556791, 2.1062895610931704, 1.2895927077066047, 1.9295331452889402, 1.1331419700555787, 1.395180141735527, 1.1440307610299458, 1.7039062442480752, 0.802105164131778, 1.4544196108825238, 1.3320030893008956, 0.940272687900713, 0.8399512893931778, 1.3595481735162231, 0.9129262195971867, 0.9740162268579768, 0.8087608509679178, 1.3931306978806077, 0.5770488677310137, 0.8568540672581731, 0.8305157075222602, 1.0369335606538188, 1.1442658299941946, 1.0533131054941864, 0.927001277217318, 0.8634541051562963, 1.2274531059089788, 1.1329787661825674]"
147,1.722089727912555,"[1.7039118430614133, 1.7048438748578587, 1.7048551421131053, 1.7027845351488473, 1.6991062805383326, 1.7019069979320622, 1.7017961936067953, 1.6990253239251822, 1.7049128189537763, 1.7095202572277697, 1.7098575307998425, 1.7143122435444793, 1.7140883179115505, 1.713691453914915, 1.7184384255110339, 1.71722656966254, 1.718918637576274, 1.7201214842560562, 1.7166965882040746, 1.7160673113498948, 1.711319184858084, 1.7125846229122388, 1.7125694109323861, 1.7129647265534274, 1.7169001494367826, 1.7175301824103726, 1.7158731554759936, 1.7176292689571966, 1.7196227934549757, 1.7193077730787811, 1.7211025390686268, 1.7227091682672404, 1.7240558852089123, 1.7242171289049193, 1.722089727912555]","[0.5165179921614252, 1.045126747139503, 1.0758193792686466, 1.170544604961336, 1.0484449920589143, 1.1710299263173714, 1.480218637529943, 1.0985659531895238, 1.1141744854447018, 0.8803576453049293, 1.127958556254243, 1.1110915469496043, 1.0543171614564275, 1.2494245542481905, 1.3311526312724866, 0.7311647989424997, 0.7588357469287089, 0.76386974556843, 0.9762323888780685, 1.1368755665556114, 1.0554473830977904, 0.7282498231978056, 1.1927151918018928, 1.2607058901643406, 0.8567277468380617, 0.9988957973509986, 0.790848951959964, 0.8529980654251514, 0.9682587575353097, 0.8944244244834729, 1.1138813156882859, 1.325457656838316, 0.8333313645300577, 1.2535239960122029]"
148,1.64047539469771,"[0.47773585643313954, 0.7658088952175127, 0.9921801038626246, 1.1307171074064872, 1.2228283256499146, 1.3086288058607987, 1.3791777621143448, 1.3940282356526215, 1.4115428758200832, 1.4507519762305665, 1.4695503586073655, 1.4746158585051965, 1.5013967440152995, 1.5182017462718147, 1.5302845667270966, 1.5414551920709223, 1.547980387451969, 1.5563400029798826, 1.5671467510802444, 1.5788903572371447, 1.580498238851035, 1.596071292115385, 1.6107363635581926, 1.6152497019661474, 1.624805394784511, 1.630197876717206, 1.621386996517258, 1.6250067394372973, 1.6281669558114906, 1.626210693437233, 1.622628144243288, 1.6246861796339191, 1.6254418781605011, 1.6308805926247838, 1.64047539469771]","[15.623930643462051, 8.121694854731492, 4.094198055666082, 2.8350648112525314, 2.2919751993418895, 2.1482047438083467, 0.8198164742814734, 0.9928322120856277, 1.5816445055240946, 1.560470871261818, 1.2580924849120536, 1.1478397479410338, 1.4118105495077455, 1.0870133039324463, 1.1049996459929132, 0.8103847565156549, 0.7460940180464208, 0.7688640216415147, 0.8784187404242978, 0.47843125770437367, 1.2034065892906505, 1.3621363503234731, 1.1364009137956663, 1.163442343091575, 1.451474629083339, 1.4942349068322938, 1.0493506621404842, 0.8925935896580728, 0.9442089336987532, 0.4922920988778045, 0.8822425143549909, 1.1011228533317003, 0.8590149028430688, 0.9118767266506922]"
149,,"[-3.899552158727073, 75.64564760260221, -187222192.54806533, 1.2939803194286044e+40, -1.7427458326910023e+199, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[4811.388659733626, 234052244602.94986, 4.037697221564291e+49, 3.758464682113954e+240, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
150,,"[-3.424205762484106, 48.3636789895246, -7071769.357639986, 9.504931283397681e+32, -5.912966569602205e+163, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[2584.6777938886394, 5622671022.580502, 1.120278124989339e+41, 9.367056820849445e+197, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
151,,"[3.738210640002176, -6.052973857283233, 700.2942973907896, -10063941866445.734, 7.476661113981017e+63, -inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[406.2507786558081, 72137.11770963922, 1.17360689790942e+17, 1.254078046770414e+78, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
